,film,URL,year,rating,votes
0,Something in the Dirt,https://www.imdb.com//title/tt14895716/?ref_=adv_li_tt,(2022),6.0,1504
1,"Jeanne Dielman, 23, quai du commerce, 1080 Bruxelles",https://www.imdb.com//title/tt0073198/?ref_=adv_li_tt,(1975),7.6,9817
2,Pulp Fiction,https://www.imdb.com//title/tt0110912/?ref_=adv_li_tt,(1994),8.9,2043760
3,When You Finish Saving the World,https://www.imdb.com//title/tt12121582/?ref_=adv_li_tt,(2022),6.5,379
4,It's a Wonderful Life,https://www.imdb.com//title/tt0038650/?ref_=adv_li_tt,(1946),8.6,455956
5,American Psycho,https://www.imdb.com//title/tt0144084/?ref_=adv_li_tt,(2000),7.6,617914
6,The Gray Man,https://www.imdb.com//title/tt1649418/?ref_=adv_li_tt,(2022),6.5,192526
7,Klaus,https://www.imdb.com//title/tt4729430/?ref_=adv_li_tt,(2019),8.1,151140
8,Emily the Criminal,https://www.imdb.com//title/tt15255876/?ref_=adv_li_tt,(2022),6.7,18949
9,The Outfit,https://www.imdb.com//title/tt14114802/?ref_=adv_li_tt,(2022),7.1,41307
10,Call Me by Your Name,https://www.imdb.com//title/tt5726616/?ref_=adv_li_tt,(2017),7.8,274052
11,The Gentlemen,https://www.imdb.com//title/tt8367814/?ref_=adv_li_tt,(2019),7.8,338976
12,Miracle on 34th Street,https://www.imdb.com//title/tt0110527/?ref_=adv_li_tt,(1994),6.6,37837
13,Moonfall,https://www.imdb.com//title/tt5834426/?ref_=adv_li_tt,(2022),5.1,78188
14,Don't Look Up,https://www.imdb.com//title/tt11286314/?ref_=adv_li_tt,(2021),7.2,534498
15,Léon: The Professional,https://www.imdb.com//title/tt0110413/?ref_=adv_li_tt,(1994),8.5,1158015
16,Se7en,https://www.imdb.com//title/tt0114369/?ref_=adv_li_tt,(1995),8.6,1645535
17,Requiem for a Dream,https://www.imdb.com//title/tt0180093/?ref_=adv_li_tt,(2000),8.3,841167
18,Memory,https://www.imdb.com//title/tt11827628/?ref_=adv_li_tt,(2022),5.7,23840
19,Super Mario Bros.,https://www.imdb.com//title/tt0108255/?ref_=adv_li_tt,(1993),4.1,55511
20,Lou,https://www.imdb.com//title/tt5315210/?ref_=adv_li_tt,(I) (2022),6.1,23328
21,Apocalypse Now,https://www.imdb.com//title/tt0078788/?ref_=adv_li_tt,(1979),8.5,666944
22,Eternal Sunshine of the Spotless Mind,https://www.imdb.com//title/tt0338013/?ref_=adv_li_tt,(2004),8.3,1006068
